Atividade,Entrega
Atualização de conjunto de dados,
Atualização de consulta,
Elaborar plano de ação,
Elaborar plano de trabalho individual,
Fale conosco,
Leitura de material técnico,
Manifestação de Ouvidoria,
"Mapeamento de atividades, projetos e rotinas",
Pedido de Acesso à Informação,
Produção de material técnico,Pesquisa
Produção de material técnico,Redação
Produção de material técnico,Edição
Produção de material técnico,Revisão
Realização de capacitação ou evento,
Realização de reunião,
Reuniões gerenciais,
Especificação de requisitos,Pesquisa
Especificação de requisitos,Análise
Especificação de requisitos,Design
Especificação de requisitos,Revisão
Especificação de requisitos,Homologação
Manutenção evolutiva,Especificação
Manutenção evolutiva,Codificação
Manutenção evolutiva,Teste
Manutenção evolutiva,Documentação
Manutenção evolutiva,Revisão
Manutenção evolutiva,Transição
Manutenção evolutiva,Refatoração
Manutenção corretiva,Pesquisa
Manutenção corretiva,Codificação
Manutenção corretiva,Teste
Manutenção corretiva,Documentação
Manutenção corretiva,Revisão
Manutenção corretiva,Transição
Manutenção corretiva,Refatoração
Produção de relatório gerencial,
